Number 1,Number 2,Sum
9397,-1046,8351
-3875,9823,5948
5456,-3887,1569
-7628,-6296,-13924
-3095,-9892,-12987
-3043,7605,4562
-1258,-6961,-8219
-2816,5157,2341
-2797,-2908,-5705
9041,-3598,5443
6339,-3708,2631
-2129,6840,4711
-9557,-2326,-11883
-5381,307,-5074
-1136,-1821,-2957
-3583,-5655,-9238
470,7320,7790
1198,1605,2803
2223,2329,4552
-8745,-7393,-16138
5537,-747,4790
9481,1433,10914
2262,8021,10283
-2575,-1588,-4163
9163,3629,12792
-2219,4306,2087
-7079,3102,-3977
4614,-6377,-1763
7576,-9584,-2008
7971,-3573,4398
5133,-748,4385
8412,-8670,-258
8515,-2121,6394
3476,4004,7480
-766,-5979,-6745
-6174,754,-5420
8646,-506,8140
-2158,-7445,-9603
-4882,6962,2080
-2823,-7186,-10009
8057,9231,17288
-8711,-7404,-16115
-7304,3125,-4179
-7856,-7631,-15487
1195,2153,3348
8695,2679,11374
-1436,3989,2553
2316,-9331,-7015
-9368,-303,-9671
-5166,3528,-1638
-7249,8116,867
-1808,8156,6348
-880,2011,1131
1659,-1995,-336
9414,-3397,6017
5177,-9775,-4598
4562,8513,13075
8529,-188,8341
6132,9476,15608
-8101,8271,170
1948,2879,4827
-6436,403,-6033
-3819,638,-3181
-7840,7387,-453
7951,1516,9467
8351,854,9205
8045,160,8205
-2883,-9410,-12293
-2007,5097,3090
8125,185,8310
8777,-4834,3943
-6829,2203,-4626
3622,307,3929
2910,6697,9607
7613,3866,11479
-9658,-6072,-15730
6164,-9302,-3138
1599,-5120,-3521
8579,-2472,6107
-3930,4054,124
-4539,-8501,-13040
-4789,9533,4744
-1200,3409,2209
5027,-7447,-2420
-8980,4679,-4301
-7966,-628,-8594
8540,3924,12464
-8338,9206,868
6863,6272,13135
4534,1066,5600
4505,-5208,-703
5574,-5129,445
-2859,-83,-2942
6936,-3673,3263
-5915,-1162,-7077
7838,-9776,-1938
-3694,26,-3668
1330,-9122,-7792
8479,9404,17883
6867,-6649,218
-1690,-5872,-7562
8105,3472,11577
-4689,-6934,-11623
9158,-5753,3405
2501,-5539,-3038
-5184,-5083,-10267
-5773,-7357,-13130
3884,-6845,-2961
-6484,1180,-5304
8005,-5829,2176
-5031,-2320,-7351
-1235,-3458,-4693
-7347,-984,-8331
1970,3351,5321
-7588,4951,-2637
8968,3341,12309
-2093,9666,7573
-593,-4703,-5296
1920,9662,11582
-7905,3783,-4122
6031,-7912,-1881
-9507,7419,-2088
4678,6687,11365
-4193,-6232,-10425
-9810,9585,-225
5533,-5441,92
-3874,-4156,-8030
1279,8748,10027
-9489,1714,-7775
2037,-5581,-3544
3426,1192,4618
-4740,522,-4218
-9035,6440,-2595
-4968,-5360,-10328
-6623,-3456,-10079
-3753,8204,4451
-191,-9074,-9265
1763,6715,8478
-9182,7335,-1847
-7909,8520,611
4208,-1671,2537
-1023,6917,5894
4005,3062,7067
6639,5554,12193
4511,8746,13257
-7906,-102,-8008
6503,-9536,-3033
-8477,2002,-6475
8213,3623,11836
-5376,-3771,-9147
9525,6624,16149
6978,7802,14780
-717,1251,534
1395,7317,8712
5185,-2889,2296
-6951,-7304,-14255
-7334,-2532,-9866
3680,7895,11575
1095,-8623,-7528
712,2292,3004
6123,-673,5450
-4863,4506,-357
-5931,982,-4949
55,1743,1798
-4576,492,-4084
9691,-1813,7878
1153,-5755,-4602
1445,-8084,-6639
-5732,3776,-1956
-6089,7769,1680
9614,-6204,3410
1193,6489,7682
7104,-6455,649
-6541,-9717,-16258
-6441,3761,-2680
-1374,-5623,-6997
-6478,-5186,-11664
2304,4245,6549
598,8027,8625
-404,192,-212
8934,616,9550
9312,-7852,1460
2618,-2373,245
5603,-3748,1855
9937,-3418,6519
7081,-5398,1683
5909,-8257,-2348
-5631,2568,-3063
3167,6817,9984
-7576,1044,-6532
-8470,-4340,-12810
-9614,-3585,-13199
-5707,-9551,-15258
-2597,9553,6956
9574,-7551,2023
7509,530,8039
-168,-5935,-6103
-7315,-5353,-12668
-5881,2309,-3572
7862,-422,7440
-650,-402,-1052
122,-6102,-5980
-798,-1881,-2679
3023,4594,7617
-7648,2419,-5229
7648,-7706,-58
5402,-3585,1817
-7218,7852,634
2022,-9350,-7328
5725,3972,9697
-110,4370,4260
-9967,-1122,-11089
-1376,2465,1089
6208,8553,14761
5597,9906,15503
-744,1569,825
5584,9015,14599
5506,-1321,4185
-4747,656,-4091
-8663,-9496,-18159
-48,5551,5503
-9595,-474,-10069
-5179,6511,1332
810,7996,8806
-8084,3032,-5052
8211,9674,17885
-9454,-1810,-11264
8284,6227,14511
-8007,4590,-3417
3759,423,4182
-3180,-5673,-8853
7090,-6125,965
244,-7438,-7194
8279,1193,9472
-2265,-1510,-3775
8885,9255,18140
4601,198,4799
-4799,-344,-5143
-8427,-2458,-10885
-4637,8793,4156
-4595,1657,-2938
-5923,-8019,-13942
-1005,-7474,-8479
-8268,1313,-6955
1279,3367,4646
-6413,3442,-2971
-5625,3179,-2446
-7348,-1693,-9041
-9604,-3410,-13014
5312,-2034,3278
74,-3528,-3454
8408,9346,17754
5022,261,5283
-6045,3448,-2597
-6423,4964,-1459
8664,6574,15238
-6245,-126,-6371
3518,9639,13157
915,-8945,-8030
1840,-3249,-1409
7661,6743,14404
-7698,3418,-4280
8650,5683,14333
3519,-1407,2112
4374,-8168,-3794
-926,-9902,-10828
9096,-9238,-142
3399,3698,7097
-2289,-3444,-5733
-5803,-8332,-14135
5695,7624,13319
1408,-6189,-4781
-843,4457,3614
2937,-4677,-1740
571,1575,2146
2146,-9276,-7130
514,4719,5233
4419,-7799,-3380
-3434,2096,-1338
-8090,-9516,-17606
1173,4486,5659
-5221,7382,2161
57,-1470,-1413
-4442,3115,-1327
1999,-8858,-6859
-4488,3247,-1241
726,-9869,-9143
8782,5035,13817
5742,-847,4895
-5630,7435,1805
4902,1156,6058
-4441,2951,-1490
2659,9555,12214
-7213,-4231,-11444
-8076,-6735,-14811
-2963,7450,4487
-3846,-2983,-6829
985,-5739,-4754
6766,4468,11234
1078,6327,7405
-2107,-9251,-11358
-3011,1283,-1728
5292,4053,9345
3279,-9839,-6560
-679,7032,6353
-8437,-7137,-15574
167,-8092,-7925
558,4635,5193
9089,315,9404
-3503,-610,-4113
-5054,4866,-188
5414,-1222,4192
-3544,1386,-2158
6260,-5917,343
3401,-7140,-3739
-9403,6973,-2430
2341,2182,4523
4861,1310,6171
-5850,-9159,-15009
-733,1330,597
-3880,7901,4021
1480,1219,2699
2181,2236,4417
2977,9579,12556
7180,2071,9251
-5843,-9304,-15147
-3952,-1543,-5495
-5758,-7828,-13586
-9229,-9436,-18665
-738,-4763,-5501
8558,7604,16162
-1311,9308,7997
2669,-1760,909
2845,-1987,858
-4279,7285,3006
-9288,-1093,-10381
-9459,-3689,-13148
1048,349,1397
7015,3191,10206
-624,7230,6606
7448,8352,15800
8511,476,8987
-5923,1740,-4183
-3847,4801,954
-5481,-2814,-8295
9047,-8550,497
-2705,-4975,-7680
2554,-4286,-1732
2444,5368,7812
-2,-3658,-3660
-5536,-4875,-10411
-2360,-1094,-3454
2467,-9141,-6674
3602,5254,8856
-4008,-8305,-12313
1130,-3137,-2007
-1034,-4235,-5269
4406,-2947,1459
7789,-6325,1464
-552,-9016,-9568
-2473,7609,5136
-7134,-4557,-11691
7604,-9703,-2099
4840,-7901,-3061
-3836,9626,5790
9832,-5062,4770
5025,1232,6257
-7089,-1018,-8107
-4268,6370,2102
7218,6246,13464
-6578,-4775,-11353
5968,5438,11406
6880,1795,8675
1888,-8231,-6343
5779,9073,14852
8262,1380,9642
2881,-7264,-4383
2783,3422,6205
-43,-8575,-8618
-9346,5197,-4149
4416,6086,10502
-3162,-7795,-10957
-9436,-3894,-13330
-4308,-8953,-13261
4417,-7821,-3404
-8927,4945,-3982
7136,-7140,-4
-252,-9844,-10096
4626,4335,8961
-5378,-7204,-12582
7998,5752,13750
6675,8327,15002
2174,8448,10622
4232,-1651,2581
-4667,3080,-1587
-5659,-7870,-13529
8423,1957,10380
-5312,-6679,-11991
-6057,-8835,-14892
-8712,4976,-3736
2961,-1742,1219
-9634,-5809,-15443
1196,298,1494
-8937,6605,-2332
-2103,4740,2637
-6684,-5346,-12030
4485,-3916,569
-7172,1498,-5674
-8986,3474,-5512
8303,9612,17915
2378,5659,8037
6528,-9033,-2505
-9020,-6133,-15153
-569,4341,3772
3830,-2684,1146
7012,-4293,2719
1346,-8033,-6687
-7687,-1002,-8689
1035,8523,9558
7329,1536,8865
-1779,-2321,-4100
5689,6619,12308
1669,4140,5809
9931,2026,11957
-9095,-769,-9864
1844,6643,8487
-9551,-1181,-10732
-8824,-5878,-14702
-7200,-6720,-13920
2341,-7380,-5039
-2447,-30,-2477
5704,-3742,1962
4477,-1662,2815
-9322,6607,-2715
1907,2460,4367
-7329,-9001,-16330
5523,-9414,-3891
-9280,9885,605
-2451,-7450,-9901
-5043,7007,1964
2585,-107,2478
5192,177,5369
9003,-9665,-662
5200,-6384,-1184
484,756,1240
4121,-2113,2008
92,1911,2003
-4378,631,-3747
7242,3111,10353
-3714,-2845,-6559
-3736,4314,578
4356,-5479,-1123
-4017,7316,3299
2164,7735,9899
5832,-7939,-2107
2536,4743,7279
-6394,2523,-3871
-3309,2621,-688
1688,3897,5585
-5129,-1749,-6878
3959,3329,7288
-5329,5557,228
-8376,-8790,-17166
-2909,3807,898
-2520,-8914,-11434
6553,-7389,-836
-2579,7586,5007
-4185,-4979,-9164
3322,9798,13120
-3961,-9287,-13248
1272,-9031,-7759
-1030,1642,612
-6192,7717,1525
9105,9963,19068
6208,5846,12054
2101,-7268,-5167
-804,8071,7267
1479,897,2376
6733,-1249,5484
-274,-3578,-3852
6480,7800,14280
-1647,-3329,-4976
4720,4306,9026
-3527,3265,-262
34,8891,8925
2822,6583,9405
1169,-954,215
-9638,74,-9564
7838,196,8034
-3029,3154,125
-5444,-6341,-11785
7678,-2979,4699
-857,963,106
9143,1166,10309
-6168,-1127,-7295
-3611,-3553,-7164
-5358,-1610,-6968
8434,-2697,5737
8132,3151,11283
8345,4805,13150
6330,9052,15382
8920,-9470,-550
-3542,9809,6267
-8232,3363,-4869
-5113,6937,1824
2670,6565,9235
-1981,7616,5635
-6601,5147,-1454
-4627,7948,3321
4797,4314,9111
6848,-9907,-3059
-3483,-4316,-7799
7010,-7934,-924
-1064,-6684,-7748
7977,-6333,1644
6612,-3741,2871
4443,2980,7423
3111,4755,7866
1543,6377,7920
3318,2727,6045
5773,6499,12272
-5142,385,-4757
-6002,-8228,-14230
-4108,4081,-27
9526,-1139,8387
-2708,6340,3632
2444,7095,9539
-4244,7207,2963
-8767,-1752,-10519
-7530,8397,867
3626,8672,12298
3462,8189,11651
-2135,-7308,-9443
1479,-5465,-3986
9652,-4016,5636
-9046,7630,-1416
-3211,1036,-2175
1483,-231,1252
8415,-2623,5792
-2660,4615,1955
56,-7169,-7113
-8348,-968,-9316
9133,1004,10137
-8935,8420,-515
-8684,6549,-2135
-2284,9334,7050
445,6856,7301
6978,242,7220
-7739,-2121,-9860
823,1825,2648
5596,-2164,3432
-4300,-618,-4918
625,-5129,-4504
-946,4718,3772
-4290,-6028,-10318
-5002,-2898,-7900
8444,-5915,2529
-6042,3693,-2349
8172,9127,17299
-7830,-4347,-12177
-5526,-9984,-15510
-4216,-2492,-6708
8658,-6606,2052
-588,-4826,-5414
4776,-9247,-4471
7776,9958,17734
8932,2356,11288
2798,3237,6035
3777,-9628,-5851
-4844,8517,3673
-8596,-5529,-14125
-8515,-4199,-12714
750,-2958,-2208
-6633,-5608,-12241
2146,4767,6913
-6871,-5136,-12007
-5782,2340,-3442
5658,-6205,-547
-8084,8357,273
3673,3228,6901
8027,918,8945
9521,-6279,3242
2829,2537,5366
-1620,5641,4021
3982,-7214,-3232
-1704,9052,7348
-4109,5880,1771
-1314,-9964,-11278
-9969,8821,-1148
-5807,9310,3503
6978,-5017,1961
9688,7946,17634
-7616,7981,365
-9444,1861,-7583
5796,-9301,-3505
9240,4869,14109
-5929,-7763,-13692
-9461,-9024,-18485
8551,6341,14892
-2613,3189,576
1569,-5918,-4349
9854,-704,9150
7311,-7029,282
5248,-760,4488
1752,-9849,-8097
-1154,8731,7577
-418,6250,5832
1319,-6565,-5246
9941,-9682,259
-4318,-5458,-9776
9189,-7862,1327
1355,-6140,-4785
-2411,-7636,-10047
-8463,-6706,-15169
-5301,2575,-2726
2788,-9367,-6579
-2232,-4978,-7210
-8976,-2487,-11463
3231,8847,12078
-6184,2090,-4094
5600,1277,6877
556,9142,9698
-7500,-7236,-14736
-7900,-1335,-9235
-1621,7564,5943
-3197,-3471,-6668
57,7455,7512
5603,7279,12882
-5615,3190,-2425
-1157,6394,5237
8704,2871,11575
-8082,-7470,-15552
7765,7252,15017
8913,-4201,4712
2857,2197,5054
2517,-2488,29
9024,8083,17107
7654,9732,17386
-7872,-2639,-10511
-9619,4851,-4768
6808,-3036,3772
1837,-4150,-2313
-876,-7636,-8512
1996,3885,5881
-5421,4613,-808
7470,3479,10949
166,-9572,-9406
8569,-7815,754
7431,2815,10246
4065,7666,11731
-1608,-3722,-5330
-6119,-258,-6377
-9925,-1601,-11526
-2043,-5965,-8008
7053,7011,14064
8584,8727,17311
-6512,-1123,-7635
-6293,-3647,-9940
92,9596,9688
-4325,-3655,-7980
-3839,-4359,-8198
-5539,82,-5457
9023,-3902,5121
1211,3321,4532
-7112,-336,-7448
-1140,-3187,-4327
4592,4801,9393
3790,-6267,-2477
-7726,-1414,-9140
8512,-1146,7366
9237,8758,17995
6621,-9123,-2502
-6730,5247,-1483
-5982,-7767,-13749
-7497,8930,1433
5018,8122,13140
-3121,-282,-3403
8050,-2509,5541
4916,-7049,-2133
6874,-6099,775
-5319,-3764,-9083
-7272,3744,-3528
2969,-3117,-148
-1980,-8088,-10068
-57,-9504,-9561
2257,6895,9152
-1721,-3365,-5086
5805,-4098,1707
2668,7093,9761
93,2238,2331
-4136,-9256,-13392
2580,-429,2151
-5492,9061,3569
7811,9556,17367
-568,-7347,-7915
-4170,-4868,-9038
3827,-4271,-444
2468,-4357,-1889
-7729,-9335,-17064
-9967,9951,-16
4543,4379,8922
9897,-1440,8457
6937,298,7235
-1682,-8391,-10073
-5866,8721,2855
-813,7313,6500
6097,7819,13916
-1868,-1220,-3088
-6712,8682,1970
-61,148,87
4219,-9372,-5153
3656,7201,10857
-3389,7081,3692
-9181,1452,-7729
8071,1192,9263
-1142,9372,8230
9139,-4425,4714
832,4522,5354
4813,4027,8840
5583,-7154,-1571
-6249,8140,1891
-9811,7436,-2375
-6223,9168,2945
-8437,-7241,-15678
115,577,692
-5119,-3437,-8556
-160,-3811,-3971
-1177,5493,4316
-8379,6751,-1628
5311,-9298,-3987
9639,9195,18834
3858,-1644,2214
4209,5477,9686
-9787,3203,-6584
5563,-9424,-3861
-531,-5334,-5865
-1967,-6809,-8776
9709,-7372,2337
5192,-4267,925
4499,3116,7615
-9889,-5171,-15060
-1523,4716,3193
7823,7231,15054
-1920,-966,-2886
-3084,-5526,-8610
1052,-8022,-6970
8357,4876,13233
895,6330,7225
2089,9491,11580
1830,-7700,-5870
-2821,-5553,-8374
-9043,3655,-5388
-5275,8425,3150
-934,5266,4332
-3406,-5022,-8428
1745,-9942,-8197
3606,-1495,2111
-9037,4552,-4485
3401,9354,12755
-5380,4705,-675
7785,2898,10683
8435,-1494,6941
9935,-8336,1599
8493,-1591,6902
-6199,7725,1526
8231,54,8285
3093,-3919,-826
-3286,1402,-1884
8997,9093,18090
-8511,-5401,-13912
515,697,1212
3678,-5451,-1773
1327,3433,4760
9047,2812,11859
7643,-2168,5475
-8335,-1377,-9712
-5295,4014,-1281
-6553,5206,-1347
-5655,4720,-935
-8142,-7216,-15358
9971,6881,16852
-7190,286,-6904
6930,-6463,467
-2886,-5038,-7924
-5255,7276,2021
-1444,-6183,-7627
4543,5946,10489
7114,7190,14304
-7049,-5465,-12514
5938,6687,12625
1732,7962,9694
1132,-6220,-5088
5235,-6522,-1287
-4654,-1175,-5829
7975,8847,16822
-7155,-408,-7563
-5759,-8572,-14331
4699,9029,13728
5043,360,5403
-3132,7120,3988
1096,4834,5930
-3547,-3862,-7409
-9597,3448,-6149
-1204,-7552,-8756
6789,6599,13388
-7460,-2278,-9738
1992,1294,3286
8972,-6102,2870
-1006,9580,8574
6974,-1417,5557
1115,7119,8234
-253,-51,-304
5953,1076,7029
-6574,-6812,-13386
-6352,-7078,-13430
-6120,-1324,-7444
-7309,9655,2346
-8549,6560,-1989
-6101,-4830,-10931
6250,6593,12843
4535,1057,5592
561,649,1210
-8518,-7212,-15730
1132,-8604,-7472
-3154,24,-3130
-7489,-5951,-13440
7573,7236,14809
8135,8489,16624
-9771,-5974,-15745
-500,-589,-1089
-207,8784,8577
7304,-2643,4661
8487,-6628,1859
-5431,-8697,-14128
9684,-68,9616
-1524,-1735,-3259
7425,6218,13643
-9365,-4593,-13958
-1993,1182,-811
8788,-2543,6245
2547,3779,6326
9637,-9183,454
-6970,1132,-5838
-3693,-9100,-12793
-8299,-6551,-14850
-9311,-6868,-16179
-4287,-1278,-5565
-2896,-8125,-11021
-8732,5160,-3572
8239,-4761,3478
-6901,-4690,-11591
-6820,-5861,-12681
-4953,-7718,-12671
-8268,3899,-4369
-165,-870,-1035
-889,-7292,-8181
6992,283,7275
-9795,1979,-7816
5197,2456,7653
3469,390,3859
-8993,6532,-2461
6541,8142,14683
2523,6592,9115
-9671,8137,-1534
-1453,-162,-1615
-8159,-4033,-12192
-5880,-815,-6695
-7050,-8172,-15222
-7235,9850,2615
335,1290,1625
5829,-6700,-871
4061,-5248,-1187
-8044,8417,373
2316,-8769,-6453
1970,6732,8702
1163,3780,4943
335,-5247,-4912
-3260,-8229,-11489
-5909,-3801,-9710
9001,-7069,1932
-4797,4880,83
8580,9095,17675
3232,1883,5115
1030,-5998,-4968
6304,-2953,3351
-3736,-8877,-12613
2398,5955,8353
6936,2526,9462
-8443,265,-8178
8547,715,9262
-6501,2051,-4450
-5729,-1502,-7231
3916,5254,9170
8034,-6140,1894
3038,4251,7289
1723,4085,5808
-573,-9555,-10128
-1756,176,-1580
-4345,-8219,-12564
5383,6822,12205
-8063,3873,-4190
-2415,4767,2352
-6855,1965,-4890
-9416,4652,-4764
-6240,-7736,-13976
2186,-8484,-6298
-8102,-5064,-13166
-4417,-4472,-8889
7033,3359,10392
7864,3174,11038
2142,-9653,-7511
1018,9373,10391
-8516,-3683,-12199
6779,6418,13197
-8724,-8819,-17543
-5647,-6913,-12560
82,-7969,-7887
-7165,5716,-1449
-9546,-5201,-14747
-8965,-1279,-10244
-8357,9661,1304
9859,-6589,3270
-9199,-9488,-18687
9543,5583,15126
5366,-6040,-674
-6301,-8226,-14527
6287,7424,13711
-3897,3244,-653
4391,-3112,1279
-6169,-174,-6343
-7491,8866,1375
-9637,-8405,-18042
6752,-9279,-2527
-8104,8728,624
-7283,2937,-4346
-5501,-6161,-11662
5028,-4335,693
8170,8363,16533
-3832,-9839,-13671
-5848,-4996,-10844
3601,-1460,2141
9794,1878,11672
6186,-9531,-3345
-9159,495,-8664
5233,-2893,2340
-8714,-9414,-18128
6224,7281,13505
7334,-845,6489
-279,-17,-296
7236,-9302,-2066
-6621,-6484,-13105
8346,8105,16451
-2566,7029,4463
-7472,-389,-7861
9588,-1350,8238
-2719,4250,1531
968,6750,7718
4031,-7016,-2985
-7513,-9104,-16617
2114,-4266,-2152
9384,-2230,7154
-8967,-6359,-15326
5406,59,5465
4277,7084,11361
6280,-3893,2387
1391,-6822,-5431
4050,6115,10165
7710,-6615,1095
3841,2324,6165
8243,-6323,1920
-5289,-4481,-9770
-1780,-6041,-7821
5381,3398,8779
-6304,7509,1205
-6330,7673,1343
9767,-2578,7189
-7090,-3312,-10402
6253,971,7224
6746,-6022,724
9365,3813,13178
5791,-7580,-1789
-4148,-2958,-7106
4368,3903,8271
7013,6966,13979
128,-876,-748
-6141,-2118,-8259
-1644,5154,3510
-1925,3174,1249
-1152,-2493,-3645
-8831,-6418,-15249
3341,-8414,-5073
7690,-5116,2574
5339,-5353,-14
8575,3098,11673
-3015,8389,5374
4243,-4670,-427
-8609,8337,-272
1021,-2200,-1179
-2099,-9507,-11606
5037,2422,7459
-1632,1595,-37
2247,-8483,-6236
8675,-8425,250
8282,7050,15332
-729,1443,714
-5856,-6251,-12107
-4911,8043,3132
-5201,1157,-4044
-6486,8484,1998
-4353,-4942,-9295
-1856,-4991,-6847
-1763,5582,3819
4883,-5831,-948
4174,5858,10032
4909,8526,13435
-8632,-6283,-14915
5714,-5491,223
-5610,-4681,-10291
9462,-8314,1148
-8805,-1689,-10494
6420,3181,9601
5317,-4192,1125
7737,-7008,729
-9574,84,-9490
8112,5555,13667
-2410,-4872,-7282
-6940,-2355,-9295
5260,-6084,-824
9227,1686,10913
-2174,2725,551
2427,-7008,-4581
-958,-8354,-9312
8046,-6477,1569
7999,8226,16225
-6772,-9919,-16691
-3061,383,-2678
2054,4386,6440
9719,-2461,7258
7845,-8362,-517
2148,3810,5958
-7738,-57,-7795
-6983,9252,2269
6587,-1852,4735
5409,9557,14966
4949,-4531,418
-5586,-386,-5972
-3599,-663,-4262
1678,-7756,-6078
4205,-4325,-120
-7532,-118,-7650
-6853,-5464,-12317
-9015,-2520,-11535
1970,1925,3895
6912,7683,14595
-1511,3390,1879
6762,-1680,5082
-9151,6944,-2207
43,4607,4650
2976,5934,8910
6236,7518,13754
-7700,4434,-3266
-7102,8083,981
-1735,9790,8055
-5617,-1839,-7456
8189,-7430,759
-9844,1152,-8692
8470,-9118,-648
-8927,-9051,-17978
-3459,5925,2466
-76,1389,1313
2700,-8337,-5637
508,-2440,-1932
1552,1254,2806
-1214,6184,4970
-5858,9291,3433
3444,-1031,2413
1111,-8861,-7750
3509,-6568,-3059
4562,7563,12125
-2929,5412,2483
757,-1444,-687
-5133,-6794,-11927
8137,5828,13965
-6743,-4955,-11698
-8843,-3621,-12464
-1337,-2454,-3791
7329,4168,11497
-6183,3981,-2202
7898,-256,7642
1746,3967,5713
4266,5015,9281
1859,6624,8483
1098,6887,7985
9903,-7136,2767
3254,-8068,-4814
5810,6191,12001
-3758,4295,537
-8564,5905,-2659
9342,-6503,2839
-333,4955,4622
-79,4071,3992
-3146,7837,4691
-1054,3892,2838
-4453,8535,4082
4818,-1871,2947
7642,-5463,2179
-7450,9095,1645
7001,-1912,5089
-1409,8605,7196
-8054,6243,-1811
1730,-2347,-617
6275,5282,11557
8924,1249,10173
7081,-4917,2164
-494,5009,4515
9514,6735,16249
-6083,2334,-3749
5979,-5215,764
-5986,7945,1959
-2251,-6126,-8377
-9602,-7683,-17285
-6826,-6301,-13127
5232,3561,8793
-3336,9488,6152
-1963,7843,5880
-9147,-3800,-12947
-178,1864,1686
1252,2861,4113
8217,-9982,-1765
-9008,-2010,-11018
4453,260,4713
4083,1263,5346
4554,3421,7975
-5895,-9304,-15199
7266,-8946,-1680
7174,94,7268
-9750,8852,-898
9064,-1557,7507
-7230,6689,-541
6020,-6533,-513
991,717,1708
7174,-9657,-2483
5218,-5256,-38
7903,-7285,618
2659,-8333,-5674
-8724,3195,-5529
6149,-7012,-863
-9733,4993,-4740
-9420,-7568,-16988
-8255,2050,-6205
1324,4844,6168
9328,6584,15912
6976,-564,6412
-1221,9876,8655
-5270,-9737,-15007
-5831,-345,-6176
9706,3284,12990
-1439,3448,2009
-5450,573,-4877
-993,-5251,-6244
-8796,-6767,-15563
9502,5050,14552
2487,1419,3906
407,7967,8374
-2677,3461,784
-2226,-7791,-10017
-9395,-338,-9733
-8452,9771,1319
4892,3698,8590
-4617,734,-3883
-2973,4652,1679
4601,-7523,-2922
5364,-6638,-1274
-8183,-2915,-11098
-854,7879,7025
-4614,-2870,-7484
-5851,2605,-3246
-978,-2698,-3676
1323,-751,572
-3749,-4431,-8180
1531,1831,3362
-2596,-4058,-6654
4186,2788,6974
-1338,-1421,-2759
-7932,-384,-8316
3934,-9581,-5647
-3444,9123,5679
2689,-7394,-4705
1638,1740,3378
-2800,6726,3926
-9560,-2354,-11914
-1554,-729,-2283
7049,-7938,-889
3264,128,3392
867,9788,10655
6910,-6005,905
-177,-1225,-1402
-4132,9744,5612
7581,-9144,-1563
-4699,9816,5117
-5870,4815,-1055
572,-5187,-4615
-442,7396,6954
9908,-2159,7749
7027,4397,11424
-345,2889,2544
-7732,599,-7133
-11,-2684,-2695
9644,9633,19277
2065,8690,10755
2536,1193,3729
-6547,2391,-4156
-4313,3301,-1012
-9036,2160,-6876
-4655,3778,-877
-8569,4937,-3632
1523,-2505,-982
8838,-1174,7664
8134,7902,16036
8845,6300,15145
1729,3571,5300
-6472,-4534,-11006
1653,-3756,-2103
1617,-1841,-224
-219,1650,1431
-7005,455,-6550
6129,-5048,1081
9682,-34,9648
3768,-2052,1716
-7636,9889,2253
4360,-2818,1542
-5849,5997,148
5615,-9542,-3927
4294,-6429,-2135
3336,3075,6411
-3575,5373,1798
1396,461,1857
7315,1452,8767
-864,7582,6718
2599,-106,2493
7996,4987,12983
4641,7019,11660
7180,8651,15831
9865,-3761,6104
9075,9901,18976
-4877,-5480,-10357
-5801,733,-5068
6512,-2097,4415
