Number 1,Number 2,Sum
7957,-4977,2980
5217,-9891,-4674
-1606,-7322,-8928
-3783,9240,5457
2295,-4611,-2316
8564,-7887,677
-3306,-6431,-9737
4036,5995,10031
-3712,7376,3664
-8692,2337,-6355
-4455,2300,-2155
-1059,4030,2971
-3773,-7021,-10794
9644,-2518,7126
9465,122,9587
-1681,-8733,-10414
-9901,-3025,-12926
271,8237,8508
-7921,-5829,-13750
-3746,-8757,-12503
8165,-6017,2148
-725,2270,1545
-602,5341,4739
3984,-4250,-266
-9912,-9037,-18949
4132,-1570,2562
-5216,-6174,-11390
8610,1663,10273
8371,4328,12699
5607,2406,8013
5751,-3726,2025
2580,1031,3611
-4383,-1870,-6253
-785,6894,6109
-8504,-6228,-14732
-1719,-168,-1887
-4739,2002,-2737
-336,-5810,-6146
-6485,-7583,-14068
1056,7720,8776
-3604,4164,560
-5064,3963,-1101
-6061,-872,-6933
7426,-2541,4885
-2467,1650,-817
9910,4642,14552
-4019,818,-3201
4587,-8620,-4033
-7630,7081,-549
-4168,-8722,-12890
10,7166,7176
-127,-7205,-7332
5630,-9216,-3586
1864,8605,10469
2576,-7749,-5173
955,9292,10247
739,-1950,-1211
-4318,6697,2379
3369,838,4207
9448,1333,10781
4938,-8568,-3630
-2803,8134,5331
8541,324,8865
4966,-8639,-3673
-7453,1727,-5726
7369,-7447,-78
4183,-1860,2323
5283,7284,12567
-3282,-8675,-11957
51,-39,12
7572,1574,9146
1598,4007,5605
77,-5267,-5190
-5362,-2444,-7806
-5358,-17,-5375
7265,-3273,3992
2179,7512,9691
-2959,6952,3993
7880,5906,13786
-6106,-3662,-9768
-1747,-6208,-7955
-1304,5529,4225
5630,-6474,-844
7050,-7750,-700
8522,9990,18512
9017,-2432,6585
8795,9569,18364
9887,-4371,5516
5531,-4029,1502
-7640,7151,-489
6421,-5903,518
3417,-3764,-347
6429,-1533,4896
7512,-3812,3700
-9543,982,-8561
9599,-5267,4332
-2393,5777,3384
-1226,2193,967
8801,-1657,7144
-5797,2362,-3435
-278,-7596,-7874
6483,7368,13851
69,-1326,-1257
1199,9951,11150
7230,-7708,-478
-2664,315,-2349
6435,7507,13942
2211,-4514,-2303
2701,-9513,-6812
7112,-4007,3105
-453,-1005,-1458
-3538,4182,644
-772,-4149,-4921
-1743,-964,-2707
7833,6505,14338
-1525,1027,-498
2823,1832,4655
8329,-9601,-1272
-3509,6213,2704
-6167,4337,-1830
-8853,-2076,-10929
-5593,2464,-3129
-5986,5621,-365
-9679,1796,-7883
-750,9544,8794
4439,-627,3812
-3113,-8774,-11887
-6162,-519,-6681
158,2520,2678
1154,-3798,-2644
659,4639,5298
9194,7099,16293
-5372,5904,532
-9755,-3374,-13129
-2449,8648,6199
-7039,1099,-5940
3967,1204,5171
926,8162,9088
1378,6664,8042
908,8309,9217
-3567,4111,544
-7319,264,-7055
8836,2308,11144
1691,-599,1092
-2418,224,-2194
-9280,-1726,-11006
-5632,1367,-4265
-5420,3240,-2180
661,-1841,-1180
-3614,1714,-1900
4822,5217,10039
4181,1797,5978
-422,3821,3399
-5237,-5818,-11055
-9102,9262,160
-4376,-3805,-8181
1177,299,1476
2599,-3996,-1397
9509,559,10068
1535,-7048,-5513
1076,-3906,-2830
2705,-2067,638
8154,6699,14853
-8435,-1843,-10278
-8785,-3576,-12361
-1037,2287,1250
2851,-988,1863
3390,3453,6843
-1490,9445,7955
-5669,8081,2412
-2365,-9998,-12363
669,-9447,-8778
7763,8108,15871
4100,-8583,-4483
-1053,3916,2863
-3118,4091,973
-4425,-7198,-11623
9235,3595,12830
-7492,4462,-3030
-6627,9089,2462
-8227,4388,-3839
-2128,9296,7168
4433,-7110,-2677
-7108,9822,2714
-9549,-4967,-14516
-9258,-204,-9462
-7217,-1797,-9014
-5517,-8777,-14294
-3672,5930,2258
-8923,-4516,-13439
9017,-3326,5691
5087,-8836,-3749
225,-5280,-5055
6257,1229,7486
3105,9411,12516
-9364,6658,-2706
3224,2612,5836
2345,-6534,-4189
-9792,-1260,-11052
-5614,8529,2915
7829,-5192,2637
6775,4277,11052
-9571,3706,-5865
1318,-3947,-2629
-1452,-4835,-6287
8148,-3686,4462
-1036,5203,4167
-8063,-4622,-12685
-5825,-20,-5845
7286,-5088,2198
2486,9456,11942
7268,-8434,-1166
-5232,-4698,-9930
9708,-5789,3919
7626,6446,14072
1751,7349,9100
-9957,-891,-10848
2754,-8047,-5293
-834,898,64
1683,5703,7386
-2991,-9933,-12924
-5529,-553,-6082
8855,9209,18064
-3042,7444,4402
5605,2248,7853
2386,-5910,-3524
-430,2817,2387
-4046,-4099,-8145
-2010,8882,6872
9401,-2456,6945
-9795,-2648,-12443
4188,-4840,-652
-629,2694,2065
6532,3804,10336
-2242,1215,-1027
1994,3974,5968
3754,-9305,-5551
-1697,3223,1526
1372,9335,10707
-8197,-4588,-12785
-4671,9216,4545
-4880,-6634,-11514
-9446,-5091,-14537
-2827,3372,545
2829,2469,5298
8524,-9884,-1360
-7609,-5901,-13510
4001,9785,13786
-6343,917,-5426
7283,4485,11768
-7075,-1627,-8702
2761,9205,11966
-8439,-255,-8694
393,-8799,-8406
-8439,-2900,-11339
-7754,-224,-7978
-3142,-8215,-11357
-5691,7488,1797
3072,2324,5396
8281,-7511,770
-4771,-632,-5403
-5223,8416,3193
-8912,-700,-9612
-9792,48,-9744
-1474,2225,751
-5192,-9931,-15123
-1530,-1386,-2916
4351,-5655,-1304
-2778,-6190,-8968
-6905,7220,315
2690,-4699,-2009
-7351,3394,-3957
5556,-4110,1446
4969,6420,11389
-6198,-8006,-14204
5451,-1965,3486
1024,-165,859
-5231,-4688,-9919
-6741,-1033,-7774
-753,-1966,-2719
4071,-6124,-2053
-727,588,-139
-3946,149,-3797
-5224,3554,-1670
-8496,-7616,-16112
481,7896,8377
-961,-227,-1188
-3616,-6896,-10512
-2142,9050,6908
468,7137,7605
-8886,-258,-9144
3187,8850,12037
3113,731,3844
4882,7238,12120
-4690,5313,623
-9281,-4469,-13750
-8178,-9275,-17453
1627,-3020,-1393
3866,-626,3240
-821,-383,-1204
6272,-1566,4706
5987,7839,13826
7865,2535,10400
5864,4827,10691
5270,-185,5085
-2847,9421,6574
4251,1507,5758
-5060,4399,-661
3836,3139,6975
-5009,863,-4146
3737,-4020,-283
1476,8231,9707
-9952,2496,-7456
1617,8005,9622
-9036,-6582,-15618
-4497,2189,-2308
-3349,-6817,-10166
4441,9851,14292
-3035,5933,2898
9811,-3456,6355
-8599,5049,-3550
-9242,2648,-6594
-3767,6084,2317
-8822,1092,-7730
-9441,-2700,-12141
-1219,-127,-1346
-3755,9657,5902
-4692,5499,807
-5996,-3359,-9355
5404,3520,8924
5836,-3113,2723
5674,-5561,113
-9478,6416,-3062
461,-1000,-539
-117,384,267
4322,-4429,-107
-5803,3341,-2462
-9328,7708,-1620
-485,-815,-1300
9342,9825,19167
6692,-2731,3961
6528,-493,6035
3527,2255,5782
-2505,-7752,-10257
1804,-6622,-4818
-128,2297,2169
7286,-7131,155
-7840,8104,264
3787,-6325,-2538
2672,4649,7321
-6935,-328,-7263
5963,-5016,947
7020,-4556,2464
8621,1174,9795
6405,-7022,-617
-3186,5894,2708
-5994,-6595,-12589
-4337,-5912,-10249
-6622,-8040,-14662
3336,-5724,-2388
-7205,-6668,-13873
9348,5731,15079
-8901,5942,-2959
5386,9224,14610
1106,2429,3535
-9750,9893,143
-703,-2124,-2827
-237,-9981,-10218
-7329,8051,722
1494,6432,7926
-349,7583,7234
3479,416,3895
-9013,8238,-775
-7037,9331,2294
-4715,2014,-2701
-2704,5728,3024
738,9578,10316
3918,7397,11315
2485,5997,8482
-8080,6368,-1712
-3649,9815,6166
6306,5246,11552
1952,3952,5904
-8610,-1941,-10551
-31,-8036,-8067
-7737,7989,252
-4058,1646,-2412
-2541,-4655,-7196
8963,-8881,82
8694,-2641,6053
-6429,-5773,-12202
2341,-7459,-5118
2456,-70,2386
-9892,-2846,-12738
7177,2217,9394
-5533,6429,896
5151,5563,10714
-2520,-9758,-12278
-121,-2635,-2756
6992,1910,8902
9339,5800,15139
-6875,-5858,-12733
6930,1653,8583
2668,3532,6200
8991,-8559,432
-7730,6583,-1147
-6394,3794,-2600
5830,-8976,-3146
-7516,-6080,-13596
-840,3020,2180
-2237,9906,7669
-6934,-5398,-12332
6289,645,6934
-7425,6950,-475
-5977,4147,-1830
6069,-1250,4819
-6412,6764,352
-6218,5602,-616
982,-1739,-757
6901,-8722,-1821
674,7345,8019
459,7283,7742
8859,5399,14258
-9528,2310,-7218
-3471,-1418,-4889
1871,7740,9611
8343,-87,8256
8224,9373,17597
8104,-8599,-495
-4006,-7678,-11684
-543,-9492,-10035
1267,-6167,-4900
4787,2328,7115
3782,-959,2823
-9599,-6306,-15905
-871,1794,923
7505,-7199,306
1791,4018,5809
226,-7577,-7351
-2535,2869,334
-5044,-3337,-8381
-9326,5419,-3907
-7021,9423,2402
-4717,-5278,-9995
7916,-98,7818
2942,-4813,-1871
-1029,727,-302
6670,-3357,3313
-6905,2701,-4204
-3082,-3064,-6146
-5768,6052,284
-4535,-2809,-7344
7547,8173,15720
-9981,3896,-6085
243,1541,1784
3252,2999,6251
-1443,539,-904
-3642,3079,-563
1572,-3501,-1929
-742,8965,8223
-2861,5302,2441
2947,2142,5089
7430,1819,9249
-6212,20,-6192
-466,3666,3200
3577,-4514,-937
4518,-5666,-1148
-2121,-3306,-5427
7522,-4534,2988
540,7320,7860
242,823,1065
4451,7407,11858
1472,9170,10642
9723,6990,16713
-8243,52,-8191
-116,-5787,-5903
9346,4550,13896
3279,9396,12675
6525,1345,7870
-4187,-1141,-5328
-1809,-2108,-3917
-3870,3202,-668
9118,4344,13462
680,-3580,-2900
-4573,-7480,-12053
-4610,8602,3992
-8537,-5565,-14102
-8113,9441,1328
2574,1265,3839
8824,-7551,1273
-9249,-6677,-15926
-3102,3229,127
1211,8786,9997
4544,-7694,-3150
5752,627,6379
4151,-3369,782
-3001,-7469,-10470
808,6793,7601
-3769,750,-3019
-7240,189,-7051
1346,5628,6974
9787,-9629,158
5005,8463,13468
3962,-1926,2036
-2685,-940,-3625
4948,4371,9319
9617,949,10566
-6492,9063,2571
7520,2876,10396
-7293,3922,-3371
-8209,7473,-736
-6381,-7902,-14283
8372,7623,15995
-4482,8575,4093
-286,3620,3334
1519,7552,9071
-8721,-1139,-9860
2688,4448,7136
-4897,-9335,-14232
4002,4358,8360
3127,1590,4717
-5659,1130,-4529
3713,-7630,-3917
8809,223,9032
-5319,-5531,-10850
-5507,3955,-1552
5268,9148,14416
622,6160,6782
-2931,9372,6441
7619,3196,10815
-3465,-6227,-9692
734,-1326,-592
-4300,-1624,-5924
-4131,9170,5039
-3965,-4347,-8312
-852,-5789,-6641
-5366,7867,2501
-8308,-8664,-16972
-2638,902,-1736
8733,8361,17094
4267,9675,13942
-8005,-7520,-15525
-2217,7563,5346
1396,-8847,-7451
-7552,-6963,-14515
647,-2629,-1982
-9206,2437,-6769
-2544,-9451,-11995
-219,-2707,-2926
8676,-9684,-1008
2497,9127,11624
-3032,8234,5202
2248,6673,8921
-4001,-4244,-8245
9507,5424,14931
-6470,8937,2467
2706,-5568,-2862
-4883,2488,-2395
-9448,-670,-10118
-5941,-4341,-10282
7281,-8306,-1025
-5881,-5790,-11671
3078,-159,2919
2898,-6535,-3637
-6581,7537,956
2286,6008,8294
7646,1483,9129
-4500,-4093,-8593
5795,4870,10665
7468,7115,14583
7668,2743,10411
8966,3566,12532
8170,8894,17064
2859,-2915,-56
4716,-8379,-3663
-5756,-6263,-12019
4600,-6300,-1700
2830,-6310,-3480
-3027,-5060,-8087
-4776,8690,3914
-648,2820,2172
-8533,6188,-2345
-8196,-6280,-14476
3197,-1480,1717
1085,8562,9647
1990,-631,1359
7783,826,8609
-8816,4849,-3967
-2389,5832,3443
3336,9668,13004
3789,-4745,-956
-2307,7429,5122
-7927,6010,-1917
-1775,-6177,-7952
-9966,-8196,-18162
8063,5041,13104
-334,7600,7266
7781,-8463,-682
-4743,-8378,-13121
7366,-8800,-1434
3524,1546,5070
-166,5922,5756
5358,9012,14370
-2413,-3751,-6164
-2611,-9499,-12110
-8829,1463,-7366
6198,2608,8806
662,-6065,-5403
2541,-9044,-6503
3884,-4143,-259
1498,-6232,-4734
8502,-6415,2087
8455,-6773,1682
-2131,-3856,-5987
-9867,187,-9680
-6316,4889,-1427
3703,-6499,-2796
-401,8581,8180
-9406,6044,-3362
6803,9860,16663
-3527,6523,2996
-4744,-3754,-8498
4521,-3317,1204
4451,2132,6583
7046,8018,15064
5128,-3879,1249
-2239,2087,-152
-86,-6809,-6895
-554,9465,8911
9531,5003,14534
-9799,134,-9665
8518,-8541,-23
-3423,-4401,-7824
-923,673,-250
4634,6678,11312
-3271,8879,5608
3199,5919,9118
8167,2655,10822
8263,-7218,1045
-1789,1725,-64
-8458,-5796,-14254
3098,-2449,649
-1499,-217,-1716
-1978,5116,3138
3374,5751,9125
8590,5283,13873
-2237,-2559,-4796
2216,-4426,-2210
-3769,2801,-968
8040,8357,16397
6691,-6987,-296
-6236,-2532,-8768
2556,5517,8073
5112,-2749,2363
-313,-9899,-10212
-9807,-7865,-17672
-1329,9464,8135
424,-1717,-1293
9708,-5791,3917
8783,4525,13308
-3219,-2631,-5850
-1164,-633,-1797
-4751,4610,-141
-1287,5766,4479
-1251,6846,5595
-6324,-4628,-10952
2814,8694,11508
-1072,-1619,-2691
-774,2677,1903
-1016,-4127,-5143
5394,-8216,-2822
653,6772,7425
4151,-7488,-3337
-2284,6620,4336
-3119,-3667,-6786
-6487,8717,2230
5495,8623,14118
-3643,2956,-687
1136,-8573,-7437
-9082,-646,-9728
2160,8282,10442
8844,2008,10852
9338,-9482,-144
-972,-6998,-7970
-6159,-1611,-7770
-5485,860,-4625
-6336,412,-5924
-6407,-2406,-8813
6974,6224,13198
1121,5367,6488
9573,-8372,1201
8164,1235,9399
3101,-1042,2059
5469,-7364,-1895
8222,5167,13389
-8977,6211,-2766
-3569,-2594,-6163
-7528,529,-6999
-5722,1790,-3932
6858,-7359,-501
-6649,1054,-5595
3081,2499,5580
-7303,-8218,-15521
8757,4648,13405
-7614,-1299,-8913
6702,9144,15846
4231,2499,6730
1596,6398,7994
4851,-5988,-1137
864,-5473,-4609
6405,9864,16269
-4889,-5069,-9958
-3915,7773,3858
7323,6756,14079
-7565,-8824,-16389
-7703,4899,-2804
-9376,7694,-1682
9927,-8758,1169
-1135,5874,4739
-2391,-9233,-11624
-4668,-2407,-7075
1497,-1905,-408
5359,-7562,-2203
6664,-8145,-1481
-1775,-480,-2255
-3543,2785,-758
6330,617,6947
8962,13,8975
9107,-9959,-852
8636,-3045,5591
2109,-5000,-2891
2718,8732,11450
-6226,318,-5908
9903,7020,16923
1145,-107,1038
6086,4480,10566
-4627,1825,-2802
-4312,8583,4271
-7425,5767,-1658
-9968,-5094,-15062
1541,-5440,-3899
6939,9407,16346
4749,-1018,3731
-9002,-1642,-10644
6602,-6171,431
-1406,529,-877
3495,9765,13260
2446,-9346,-6900
-2624,5485,2861
-6534,-8212,-14746
-5789,387,-5402
-5110,5068,-42
-3214,-7893,-11107
-8445,-9019,-17464
-4873,6001,1128
-2829,423,-2406
1392,226,1618
6347,-4844,1503
-4771,-6194,-10965
-3520,-8541,-12061
-7641,6215,-1426
6426,9661,16087
-8866,-7743,-16609
-2953,-5290,-8243
8146,4666,12812
-9181,3823,-5358
4539,-877,3662
-153,-5875,-6028
1862,9514,11376
-2275,-2028,-4303
1176,-5169,-3993
-6848,4979,-1869
-601,-3705,-4306
-9333,-2087,-11420
5953,3881,9834
5911,-7757,-1846
8676,-7985,691
7965,7476,15441
-8351,2769,-5582
5284,4159,9443
-1836,265,-1571
8459,-6229,2230
-4962,-4500,-9462
-6401,7071,670
-8313,9085,772
-1006,9468,8462
2076,1328,3404
70,1923,1993
8901,9228,18129
8978,-4367,4611
-4975,-1126,-6101
8058,-1066,6992
7381,7952,15333
-3666,8961,5295
3548,-8495,-4947
-8769,-6529,-15298
-1503,-1630,-3133
6244,-9749,-3505
7079,2976,10055
5421,-4415,1006
-6321,-8650,-14971
3315,-1485,1830
-4724,3403,-1321
9337,9695,19032
-8546,-1941,-10487
7751,-8361,-610
-5724,-2610,-8334
-7528,8796,1268
9297,9504,18801
4657,-3912,745
-3711,-8546,-12257
1075,1708,2783
1629,4611,6240
-6520,-6676,-13196
5554,3068,8622
-2961,-5462,-8423
-1415,-5527,-6942
-4416,8381,3965
8596,3646,12242
-4687,-1682,-6369
-90,-1089,-1179
5368,-526,4842
-2512,-1378,-3890
-1152,8599,7447
8525,-9897,-1372
-2858,-5642,-8500
-2540,9416,6876
-1661,1081,-580
-1396,-6391,-7787
-3599,156,-3443
-8749,-6359,-15108
7297,4836,12133
900,-7792,-6892
-3248,3286,38
-9833,-358,-10191
-6039,-7138,-13177
1851,5368,7219
-107,4730,4623
4550,2160,6710
-4587,-4525,-9112
-1814,7340,5526
5353,-2710,2643
9960,-3313,6647
-6548,-2284,-8832
-7056,-6528,-13584
9975,-4871,5104
7533,-3337,4196
-8107,4449,-3658
4373,-729,3644
5656,-8029,-2373
-6945,-4392,-11337
-404,1448,1044
-6736,-1320,-8056
-4532,-4690,-9222
-4578,-7421,-11999
-1389,3243,1854
-3935,-1488,-5423
7051,-6821,230
224,7528,7752
873,-119,754
1937,9590,11527
-493,7142,6649
1938,-2153,-215
5664,-5476,188
-747,-7331,-8078
-4748,6559,1811
9462,-6379,3083
-4206,6690,2484
-5627,-6059,-11686
-782,4413,3631
-4401,-4149,-8550
5256,4538,9794
-3171,-4157,-7328
-2891,-1895,-4786
-8904,-9989,-18893
398,8686,9084
5481,-150,5331
9638,-1073,8565
651,5409,6060
5771,8603,14374
9165,2573,11738
7280,8306,15586
3020,3778,6798
-8612,8560,-52
-6401,-1241,-7642
-1334,-828,-2162
7132,5334,12466
-5426,5677,251
8172,1174,9346
-9922,-8598,-18520
-4138,-2469,-6607
6805,-7046,-241
8462,8542,17004
-3148,4461,1313
-880,-2789,-3669
-9046,5375,-3671
-638,-3060,-3698
2559,-726,1833
-3564,-1994,-5558
2205,481,2686
-1703,-8878,-10581
-972,-8544,-9516
-6203,3171,-3032
5890,6757,12647
9320,3928,13248
1562,1106,2668
-1931,-4722,-6653
8748,8852,17600
-8460,-5754,-14214
-3874,9829,5955
-6659,1101,-5558
-446,-8265,-8711
3879,-116,3763
8664,3430,12094
-2359,-166,-2525
9500,-488,9012
5762,9549,15311
3713,-1099,2614
-5010,-8114,-13124
-2086,-978,-3064
7959,3158,11117
1396,4887,6283
-3651,8031,4380
-3152,2590,-562
-1824,2742,918
-8114,-2408,-10522
6198,-5368,830
-9615,-113,-9728
-7269,-5011,-12280
9567,-2295,7272
1192,-3042,-1850
4622,6957,11579
2531,9147,11678
-3178,-852,-4030
-490,3710,3220
9776,-4552,5224
9163,-8910,253
5080,1828,6908
-3025,3364,339
-8715,-9710,-18425
7478,3445,10923
6262,-1290,4972
7423,-5550,1873
-5229,7881,2652
1701,2786,4487
8276,-7955,321
-5057,-5499,-10556
7606,-6771,835
-8539,-1032,-9571
-1138,5537,4399
-1511,-2589,-4100
-7953,-8629,-16582
-3496,-9403,-12899
2247,-1928,319
3024,4179,7203
5578,-5138,440
-7724,-5568,-13292
5666,7012,12678
-7526,-6061,-13587
-6324,-3609,-9933
2457,7166,9623
5520,2033,7553
6957,-7741,-784
114,9683,9797
-1386,3381,1995
-7604,5676,-1928
9652,8987,18639
8070,6179,14249
7389,-6516,873
-4783,-8786,-13569
-4354,-5524,-9878
-6438,7817,1379
-6394,2782,-3612
-7619,-8889,-16508
-3861,-5511,-9372
1349,9240,10589
-5931,-5441,-11372
-7018,-3933,-10951
5667,-7680,-2013
2932,7493,10425
600,-490,110
9432,1069,10501
6537,7772,14309
-8554,-6011,-14565
5345,-7760,-2415
-7213,-2302,-9515
-4575,-2239,-6814
6715,3819,10534
4248,4401,8649
-1681,643,-1038
-7376,9954,2578
-9449,-9476,-18925
-7908,-4782,-12690
-3967,3287,-680
-3932,-1151,-5083
-2130,-3329,-5459
-2001,-6188,-8189
825,-3104,-2279
9473,9205,18678
3614,9086,12700
-4034,-6964,-10998
-3805,941,-2864
-2304,3907,1603
-1471,6857,5386
7198,-1184,6014
5790,-6916,-1126
-2596,5222,2626
7306,7962,15268
2478,-8624,-6146
-1082,-600,-1682
-7870,-2518,-10388
6532,8600,15132
-4308,-2011,-6319
-9864,-3652,-13516
-8146,-2339,-10485
-6981,-782,-7763
-6099,6247,148
-6321,5735,-586
-511,7400,6889
7751,691,8442
2783,6392,9175
-1856,-4583,-6439
6027,-5200,827
8877,931,9808
91,6700,6791
9611,2426,12037
9894,990,10884
9795,7046,16841
1272,-4352,-3080
9082,-7654,1428
9180,-1000,8180
5936,-2369,3567
2470,5588,8058
-6149,-6394,-12543
-3737,4535,798
-8510,9558,1048
-4617,-2775,-7392
5549,-9788,-4239
1788,6873,8661
-3228,-3179,-6407
-9258,-1502,-10760
763,2883,3646
-5618,3093,-2525
-849,-578,-1427
-6473,7398,925
1062,9919,10981
-5104,-3349,-8453
-8098,311,-7787
-7323,-8693,-16016
-2213,4001,1788
-8087,-6635,-14722
-5849,3152,-2697
4615,4620,9235
6330,-8492,-2162
6715,101,6816
-8558,7696,-862
3368,-6527,-3159
-2071,-36,-2107
-9907,8855,-1052
852,5274,6126
247,-1482,-1235
-3598,3994,396
-5823,8068,2245
6131,-5752,379
-3920,-3648,-7568
5153,-8414,-3261
4821,795,5616
6630,-9031,-2401
9026,-4139,4887
9260,7178,16438
-2698,-750,-3448
7460,85,7545
9772,2219,11991
-2463,8451,5988
-9994,8217,-1777
1281,6717,7998
2158,-9796,-7638
-7535,2911,-4624
2714,8338,11052
-1831,8445,6614
-3550,808,-2742
-6814,3491,-3323
-4817,-4755,-9572
9405,-8822,583
-6415,-2872,-9287
1348,9691,11039
-1864,-8367,-10231
7766,-5888,1878
6276,-3086,3190
9538,3849,13387
-7722,3235,-4487
3383,-7582,-4199
-2820,-8281,-11101
7673,-8943,-1270
9802,-7477,2325
-7227,2185,-5042
-9963,-6412,-16375
-4095,1563,-2532
9104,3208,12312
-7961,-2596,-10557
-3570,4791,1221
3675,7157,10832
8110,-63,8047
-5340,9588,4248
1605,3014,4619
2860,-6462,-3602
4472,-6993,-2521
8386,-8408,-22
-3702,4150,448
2540,1687,4227
-3327,4270,943
1819,7227,9046
9334,-302,9032
-5719,-4003,-9722
2024,6709,8733
7505,-2544,4961
9191,-700,8491
-1125,-9069,-10194
-530,-9470,-10000
-7858,-2548,-10406
8112,4267,12379
-1324,-1391,-2715
-3713,4563,850
812,-1881,-1069
-1113,4773,3660
2247,-8818,-6571
-2786,-6880,-9666
965,8551,9516
-9108,5929,-3179
-8300,435,-7865
-8178,134,-8044
-2776,6936,4160
-224,-1588,-1812
8337,6483,14820
8306,-6697,1609
-1932,-3156,-5088
-4678,-6467,-11145
6119,3808,9927
5857,36,5893
1457,-6595,-5138
2680,563,3243
3758,-1461,2297
-6600,-2465,-9065
7648,-4818,2830
8621,-2958,5663
6430,-9968,-3538
6072,6054,12126
-7039,5447,-1592
-7558,-773,-8331
1715,4847,6562
-4032,-2999,-7031
-2282,2487,205
1255,-246,1009
-6425,-4166,-10591
-4123,-6211,-10334
-9191,4779,-4412
1888,-7629,-5741
-7867,2212,-5655
2055,-5850,-3795
-9052,-160,-9212
-5626,-9563,-15189
-7802,9207,1405
9626,8754,18380
4257,9792,14049
-6356,9898,3542
-7398,9944,2546
-4992,4364,-628
5297,7066,12363
4082,-2199,1883
705,-106,599
-3613,-2086,-5699
8702,-4319,4383
2391,2761,5152
4595,-1997,2598
-7502,-6402,-13904
-1383,1351,-32
8047,-8619,-572
-918,-6599,-7517
-4915,8472,3557
7816,-2833,4983
-2452,6079,3627
-9859,8275,-1584
-685,3582,2897
-833,7570,6737
1599,-3926,-2327
-3889,-1833,-5722
-4643,-5598,-10241
-7845,2038,-5807
2964,477,3441
5821,9965,15786
-3631,-5293,-8924
9192,8370,17562
3840,-1178,2662
-2533,769,-1764
553,-4616,-4063
-9923,-1048,-10971
8411,6517,14928
3567,3940,7507
7288,2734,10022
9047,6582,15629
-4257,-157,-4414
6370,-3499,2871
5512,-622,4890
1230,226,1456
-8471,-2791,-11262
9624,6640,16264
5928,4359,10287
-1284,-6435,-7719
-6421,-8857,-15278
403,-1323,-920
-4479,5991,1512
-7590,6558,-1032
4331,-9379,-5048
-2289,7571,5282
2971,-8057,-5086
-5035,7471,2436
-7541,-6326,-13867
7448,-9600,-2152
3626,3777,7403
-2026,5695,3669
-948,6489,5541
-4240,-1236,-5476
-760,7411,6651
-3340,-4475,-7815
9916,5402,15318
4258,-5417,-1159
-9475,2201,-7274
7286,5736,13022
-9529,6354,-3175
7903,-4862,3041
8194,-605,7589
-5199,943,-4256
5382,2207,7589
-927,-8214,-9141
-4987,7117,2130
4116,2408,6524
-4994,-9525,-14519
4859,-3778,1081
342,-564,-222
-3,-5165,-5168
4068,6270,10338
3454,5353,8807
-7992,-8239,-16231
-4129,-9337,-13466
9580,8090,17670
1830,6823,8653
-2949,-49,-2998
7701,-6915,786
1529,9096,10625
-1346,5203,3857
